sao,ra_rad,dec_rad,apparent_vm,spec
253688,4.39241326,-1.171286146,5.3,A
105438,5.219570025,0.1993819535,5.3,A
244896,4.616806606,-0.9512111812,5.3,A
48601 ,5.12553663,0.7402415021,5.3,A
112904,1.458567438,0.06574315923,5.3,A
251866,3.238123687,-1.178483739,5.3,A
250880,2.676940992,-1.1584269,5.4,A
206597,4.034977538,-0.6930733488,5.4,A
28405 ,3.272298034,1.019373173,5.4,A
229903,5.200402747,-0.6959392764,5.4,A
81258 ,2.688855046,0.511564391,5.4,A
130269,0.8040456975,-0.1326599554,5.4,A
94111 ,1.24803797,0.2043025699,5.4,A
152641,1.903458627,-0.2720167876,5.4,A
7540  ,3.223775118,1.311799938,5.4,A
16962 ,4.216400804,1.183509947,5.4,A
9250  ,4.914714529,1.316571716,5.4,A
124070,4.957799581,0.07333888061,5.4,A
75510 ,0.7011201408,0.47230064,5.4,A
108732,6.186958906,0.3211535269,5.4,A
82346 ,3.276896686,0.4287782856,5.4,A
135916,2.209818016,-0.06959442215,5.4,A
207144,4.17522856,-0.5928232364,5.4,A
124455,5.046257376,0.08438060916,5.4,A
63256 ,3.385967183,0.6687202364,5.4,A
89720 ,5.618510623,0.4818599053,5.4,A
112467,1.349695399,0.1715586902,5.4,A
83103 ,3.65929418,0.3786695919,5.4,A
138845,3.288982873,-0.1649671149,5.4,A
3721  ,5.817084731,1.502867094,5.4,A
65812 ,4.485644676,0.6271898845,5.4,A
233664,1.24072504,-1.042533401,5.4,A
75495 ,0.6929668352,0.383298302,5.4,A
101025,3.78062707,0.3355715464,5.4,A
55218 ,0.5365399557,0.5809151943,5.4,A
16080 ,3.527534329,1.046252504,5.4,A
24829 ,1.256657714,0.9906004505,5.4,A
168082,0.7413401626,-0.4876757787,5.4,A
256505,2.190720042,-1.281078895,5.4,A
31371 ,4.995653882,0.9319488065,5.4,A
248656,0.7375086558,-1.096181332,5.4,A
76256 ,1.004939494,0.4464437326,5.4,A
158821,3.880381363,-0.2469454723,5.4,A
57884 ,1.391901387,0.5890216184,5.4,A
246349,5.223351209,-1.028024915,5.4,A
201346,2.720481284,-0.6633972246,5.4,A
5000  ,1.000207179,1.236933361,5.4,A
45153 ,3.8346509,0.7750050186,5.4,A
34143 ,5.808304125,0.887034455,5.4,A
164639,5.700834749,-0.1983734925,5.4,A
168183,0.7740331611,-0.4164697874,5.4,A
154359,2.231907922,-0.3416897981,5.4,A
118731,2.939830774,0.00121654297,5.4,A
140270,3.931234367,-0.1486839687,5.4,A
194550,0.9974117434,-0.6566296135,5.4,A
123497,4.831104531,0.003425063213,5.4,A
14590 ,2.245383172,1.136996826,5.4,A
251286,2.917156765,-1.081178578,5.4,A
79799 ,2.075478351,0.3470408321,5.4,A
82330 ,3.267743234,0.4522627573,5.4,A
180546,3.189869479,-0.4119390096,5.4,A
218525,1.886103146,-0.7068389545,5.4,A
210257,4.848004408,-0.5757696243,5.4,A
108879,6.250978819,0.1910686109,5.4,A
94700 ,1.470713402,0.2974102617,5.4,A
220531,2.311046459,-0.7037244145,5.4,A
251720,3.161857235,-1.192568061,5.4,A
94095 ,1.241062034,0.1945361438,5.4,A
5455  ,1.362994008,1.290610962,5.4,A
106322,5.401003328,0.1985782778,5.4,A
237221,2.533820866,-1.01200352,5.4,A
46147 ,4.327489993,0.7958429409,5.5,A
51783 ,5.819894493,0.7930915263,5.5,A
65290 ,4.299627993,0.6526499234,5.5,A
237804,2.676375796,-0.8941889475,5.5,A
88295 ,5.282057467,0.469566,5.5,A
164364,5.60334313,-0.224766216,5.5,A
121911,4.4131317,0.02122683981,5.5,A
28803 ,3.552275681,0.9660139489,5.5,A
171236,1.599304098,-0.4033575166,5.5,A
21677 ,0.1976007238,0.9637976716,5.5,A
151911,1.774350005,-0.1764063907,5.5,A
159466,4.119297884,-0.2735426902,5.5,A
29487 ,4.014631871,0.9068471418,5.5,A
119538,3.324643949,0.1187983566,5.5,A
87908 ,5.212069328,0.4244532143,5.5,A
170506,1.444812789,-0.364140744,5.5,A
73241 ,6.129801555,0.56522163,5.5,A
54655 ,0.3651072443,0.6582514122,5.5,A
17391 ,4.505318246,1.097365586,5.5,A
217730,1.605189421,-0.7357246384,5.5,A
181790,3.56399273,-0.4624255186,5.5,A
74482 ,0.286593317,0.3747791075,5.5,A
85956 ,4.803805109,0.5211382977,5.5,A
73346 ,6.172469837,0.702259356,5.5,A
11919 ,0.4465515067,1.187574868,5.5,A
80595 ,2.368139814,0.4267849741,5.5,A
29628 ,4.113944014,0.9138711709,5.5,A
237149,2.518535345,-0.9366946961,5.5,A
72406 ,5.890619743,0.5684994553,5.5,A
143   ,0.2394631731,1.460970029,5.5,A
106666,5.478776218,0.2193617555,5.5,A
170029,1.325959867,-0.4256487163,5.5,A
256355,1.817635989,-1.386144613,5.5,A
99869 ,3.122723608,0.2730874017,5.5,A
121895,4.408366006,0.1264952101,5.5,A
93978 ,1.180925478,0.2738753209,5.5,A
26756 ,2.172239187,1.039712416,5.5,A
246271,5.183715218,-0.9837136237,5.5,A
61146 ,2.342859593,0.5743941594,5.5,A
213599,5.802904222,-0.5936670062,5.5,A
40583 ,1.50927587,0.8696327467,5.5,A
70056 ,5.356288938,0.6709116912,5.5,A
94566 ,1.430125043,0.2770555047,5.5,A
58280 ,1.477572619,0.5321928738,5.5,A
142959,4.986880621,-0.06455972903,5.5,A
186163,4.724832378,-0.4238054062,5.5,A
143678,5.151872704,0.01084290646,5.5,A
39457 ,1.131066876,0.8735172678,5.5,A
179577,2.917895621,-0.4900985866,5.5,A
146593,6.089326133,-0.06102344956,5.5,A
56285 ,0.8523397578,0.5333167204,5.5,A
105615,5.251259823,0.2797991623,5.5,A
256599,2.432215724,-1.307152271,5.5,A
171293,1.609911337,-0.3914323605,5.5,A
51207 ,5.682710305,0.716931127,5.5,A
40248 ,1.39734267,0.717088546,5.5,A
